text,label_meaning,label_predicted
他才到，你先让他喘口气。,1. just happened,0
鸡叫的时候，水生才回来。,2. happened late,1
这学期你一周才两节课啊。,3. lower than expected,2
只有社会主义才能救中国。,4. necessary condition,3
我领你去个地方，那儿才安静呢。,5. emphasize a fact,0
这人很有才。,0. not adverb,0
看也没看，怎么会记得？我又不是才上城来的乡巴佬。,1. just happened,0
门牙换过了没有？换过了，前天才长起来的。,1. just happened,1
你才刚来，就要走？也不歇歇。,1. just happened,2
才说要给你去电话，你的电话就来了。,1. just happened,0
你们夫妇今天怎么了？她才走，你就来了。,1. just happened,0
才买回来就砸了，多可惜。,1. just happened,0
这蛋糕才入口就化了。,1. just happened,0
才娶了媳妇就忘了娘。,1. just happened,0
才跟人借来，你就要拿走。,1. just happened,0
才发完汗，就不要马上出去了。,1. just happened,0
至于顾客接受了商品，回去受用也好，半途失掉也好，甚而至于才到手就打烂也好，那是顾客自己的事，商店都可以不负责任。,1. just happened,1
然而要做这一篇速朽的文章，才下笔，便感到万分的困难了。,1. just happened,1
这一年的清明，分外寒冷，杨柳才吐出半粒米大的新芽。,2. happened late,4
车上的鬼子全飞了出来，跌到三丈开外才落地。,2. happened late,1
那时我根本不知道伏特加是什么，若干年后才喝了几口，原来是像我们在粮食白酒汤里多加了点水。,2. happened late,1
终于第四天在拖拉机站才见到了他。,2. happened late,1
直到闹钟告诉我，还有十五分钟就到上班时间，我才猛地从床上跳下来。,2. happened late,4
电话打了三回才打通。,2. happened late,1
最后才轮到金秀梅同志传达先代会情况。,2. happened late,1
拿破仑死在圣海仑岛，遗嘱愿望将骨灰安顿在塞纳河旁，他所深爱的法国人民中间，待他死后十九年，一八四零，这愿望才达到了。,2. happened late,4
他很想寻一两个大的，然而竟没有，好容易才捉到一个中的，恨恨的塞在厚嘴唇里，狠命一咬，劈的一声，又不及王胡响。,2. happened late,1
所以我们同时必须反对资产阶级自由化。这不是今天才讲的，而是十一届三中全会以来一直在讲的。,2. happened late,1
骂声打声脚步声，昏头昏脑一大阵，他才爬起来。,2. happened late,1
追们要老叫困难搁住手脚，不想办法，什么时候才会有新鲜事儿呢。,2. happened late,3
改革开放以后，农村才真正兴旺起来。,2. happened late,1
他结婚之后才干净点儿。,2. happened late,1
昏迷两天，才清醒过来。,2. happened late,1
好说歹说才把他劝走了。,2. happened late,0
金秀梅拿起了洗衣粉，递给了顾客，走近了，才认出来顾客不是别人，正是拖拉机站的徒工。,2. happened late,1
男女老少一共百多人，总算完全安顿停当了，他才回到城里。,2. happened late,4
听到这儿，我才注意那个房间。,2. happened late,4
他扭住伊的面颊，再用力的一拧，才放手。,2. happened late,4
我站立起来转过身去，才看见洗菜的是个女孩子，也不过十六七岁。,2. happened late,1
吃了关大夫的中药，他才轻快点儿。,2. happened late,4
进行了人工呼吸，人才清醒过来。,2. happened late,1
老师进教室了，这才安静了下来。,2. happened late,4
他当上了官儿才腐败的。,2. happened late,0
幸而她撒娇坐在他的御滕上，特别扭了七十多回，这才使龙眉之间的皱纹渐渐地舒展。,2. happened late,4
这时，他才发觉自己已是满身大汗。,2. happened late,1
才两块钱一个，挺便宜的。,3. lower than expected,0
三家人才一个厨房。,3. lower than expected,0
我结婚那一年，才十九岁。,3. lower than expected,2
我除照付票价外，还出了一身大汗，才弄到一张三等车票。,3. lower than expected,4
三百个铜板才合一块钱。,3. lower than expected,0
你才高三啊，我以为你都上大学了呢。,3. lower than expected,0
混了这多么年才是个副科级啊。,3. lower than expected,0
解放前，凭我这个法政专门毕业的大学生，才不过当上了个办事员。,3. lower than expected,2
在上海先施公司买的，才只有六块半钱。用了这么些年头，还没有走样。,3. lower than expected,2
我和安然好久没有在大街上聊天了，仿佛过了一个世纪，其实仔细算算，才不过半个多月。,3. lower than expected,2
才来了一年，就分了一套三居室。,3. lower than expected,0
才五天，就盖起了一层。,3. lower than expected,0
才半天，就写了五千多字。,3. lower than expected,0
这个小演员才十四岁，就有八年艺龄了。,3. lower than expected,2
改革开放才几年，就取得了这么多的成绩。,3. lower than expected,2
这才几月，天就这么热。,3. lower than expected,2
才两个月就觉得有点生疏了，黑石县原来是这样小，这样寒碜。,3. lower than expected,0
才七岁一个孩子，就有这大气性。,3. lower than expected,0
只有到了下世纪中叶，达到了中等发达国家的水平，才能说真的搞了社会主义。,4. necessary condition,3
由于邻居的无微不至的关怀和照顾，他的童年生活才不致匮乏。,4. necessary condition,4
因为你是安然，现在你才不仅一根接一根地靠着柜台吃雪糕，还居然和卖雪糕的老大爷攀谈起来。,4. necessary condition,2
要是老这样等下去，多早晚才能回家。,4. necessary condition,1
可是，咱们要老叫困难搠住手脚，不想办法，什么时候才会有新鲜事儿呢。,4. necessary condition,3
那媳妇是为了让她快跑，才晚走了一步。,4. necessary condition,4
非得把板子敲着你的屁股，你才碰头叫老爷呀。,4. necessary condition,0
唯有自己才是最可靠的。,4. necessary condition,3
幸亏带了把伞，才没淋着雨。,4. necessary condition,4
有了清官，才能有清水。,4. necessary condition,3
只有履行了结婚手续，你们的婚姻才合法。,4. necessary condition,3
因为删去了这个情节，故事才真实可信。,4. necessary condition,4
如果是在解放前的话，孔碧霞不把朱自冶赶出来才怪呢。,4. necessary condition,0
咱们老实，才会有恶霸。,4. necessary condition,3
所以我劝你上鸡鸣寺去，最好选一个微雨天或月夜。在朦胧里，才酝酿着那一缕幽幽的古味。,4. necessary condition,4
他造这个堡宫，一来为面子，那时候一个亲王总得有一所讲究的宫房，才有威风。,4. necessary condition,3
未庄通例，倘如阿七打阿八，或者李四打张三，向来不算一件事，必须与一位名人如赵太爷者相关，这才载上他们的口碑。,4. necessary condition,4
现在的社会，单枪匹马，各干各的，是不行了，须要同学们团结起来才是。,4. necessary condition,3
常说参儿不见辰儿，姐夫不见小姨儿，你该藏起来才是，倒跑去看他。,4. necessary condition,0
这玩艺儿只有产区才便宜。,4. necessary condition,0
他？你等着，等他回来，我不揍扁了他才怪。,4. necessary condition,0
你工作定了我心里才踏实。,4. necessary condition,0
大学队输给中学队那才窝囊呢。,4. necessary condition,0
我领你去个地方，那儿才安静呢。,5. emphasize a fact,0
你们不知道，他在家里才霸道呢。,5. emphasize a fact,0
这个人办事才草率呢。,5. emphasize a fact,0
唐古拉山的气候才恶劣呢。,5. emphasize a fact,0
这儿算什么！南京路才繁华呢。,5. emphasize a fact,0
那部电影才荒诞呢。,5. emphasize a fact,0
我急躁？你才急躁呢。,5. emphasize a fact,0
海上作业才艰苦呢。,5. emphasize a fact,0
天安门国旗班的小伙子才魁梧呢，个个是百里挑一。,5. emphasize a fact,0
你才娇气呢。,5. emphasize a fact,0
今天玩儿得才开心呢。,5. emphasize a fact,0
在国外一人生活才冷清呢。,5. emphasize a fact,0
张秉贵卖糖才麻利呢，一抓一个准。,5. emphasize a fact,0
得了那种病才难受呢。,5. emphasize a fact,0
你没在产区买，那才便宜呢。,5. emphasize a fact,0
这些农村孩子才朴实呢。,5. emphasize a fact,0
北京图书馆的资料才齐全呢。,5. emphasize a fact,0
农民们才实际呢，耳听是虚，眼见为实。,5. emphasize a fact,0
婴儿皮肤才细腻呢。,5. emphasize a fact,0
登机检查才严格呢。,5. emphasize a fact,0
他古文底子才扎实呢，你远远比不上他。,5. emphasize a fact,0
那个屋子，才叫脏呢，没法进人。,5. emphasize a fact,0
唉，奶奶，这个人你才熟悉呢，可就是不能告诉你。,5. emphasize a fact,0
外地人购物常去南京路，其实淮海路才是精品荟萃之处。,5. emphasize a fact,0
这才是真正的张小泉剪刀。,5. emphasize a fact,4
这才是北大水平。,5. emphasize a fact,0
北京的琉璃制品才是中华国粹。,5. emphasize a fact,0
咸板鸭才是南京的名产，要热吃，也是香得好。,5. emphasize a fact,0
这所房于从运河中看，好像在水里。下两层是玲珑的架子，上一层才是屋子。,5. emphasize a fact,1
说老实话，想他了吧？我才不想他呢！,5. emphasize a fact,0
这是怎么说的！吃药了吗？我才不吃药。,5. emphasize a fact,0
我知说！可是，我才不怕！六十岁了，也该死了，我怕什么。,5. emphasize a fact,0
我干吗呀？我才不把新裤子、新毛衣都弄湿了呢。,5. emphasize a fact,0
秦始皇姓什么？难道姓秦吗？才不呢。,5. emphasize a fact,0
这个人才不文明呢。,5. emphasize a fact,0
本党对于国家兴亡，必当尽其心思才力，贯彻始终。,0. not adverb,0
为满足“引才”需求，新疆对应聘大学生作出硬性规定：须政治素质好、学业成绩优良、志愿到基层一线和艰苦地区工作。,0. not adverb,0
在改革开放的新时代，杰出的人才不断地涌现出来。,0. not adverb,0
老胡很有才华，写得一手好文章。,0. not adverb,5
哥哥的才干得到了领导的赏识，工作没多久就被委以重任。,0. not adverb,5
天才在于积累，聪明在于勤奋。,0. not adverb,0
他才气很高，所写作品确有过人之处，是我们望尘莫及的。,0. not adverb,5
